,FOMC_Statements
1994-02-04,chairman alan greenspan announc today feder open market committe decid increas slightli degre pressur reserv positions. action expect associ small increas short term money market interest rates. decis taken move toward less accommod stanc monetari polici order sustain enhanc econom expansion. chairman greenspan decid announc action immedi avoid misunderstand committe purpos given fact first firm reserv market condit committe sinc earli
1994-03-22,chairman alan greenspan announc today feder open market committe decid increas slightli degre pressur reserv positions. thi action expect associ small increas short term money market interest rates.
1994-04-18,chairman alan greenspan announc today feder reserv increas slightli degre pressur reserv positions. thi action expect associ small increas short term money market interest rates.
1994-05-17,feder reserv today announc action design maintain favor trend inflat therebi sustain econom expansion. board approv increas discount rate percent percent effect immedi feder open market committe agre increas allow show complet interest rate reserv markets. these action combin three adjust initi earlier year fomc substanti remov degre monetari accommod prevail throughout alway feder reserv continu monitor econom financi develop judg appropri stanc monetari policy. take discount action board approv request submit board director eleven feder reserv bank boston york philadelphia richmond atlanta chicago loui minneapoli kansa citi dalla francisco. discount rate interest rate charg depositori institut borrow district feder reserv bank.
1994-08-16,feder reserv announc today follow monetari polici action these measur taken background evid continu strength econom expans high level resourc utilization. action intend keep inflationari pressur contain therebi foster sustain econom growth. feder reserv continu monitor econom financi develop gaug appropri stanc policy. action expect suffici least time meet object sustain noninflationari growth. take discount rate action board approv request submit board director feder reserv bank boston york richmond kansa citi dallas. discount rate interest rate charg depositori institut borrow district feder reserv banks.
1994-11-15,feder reserv board today approv increas discount rate percent percent effect immediately. relat move feder open market committe decid increas discount rate reflect fulli interest rate reserv markets. these measur taken background evid persist strength econom activ high rise level resourc utilization. circumst feder reserv view action necessari keep inflat contain therebi foster sustain econom growth. take discount rate action board approv request submit board director feder reserv bank york loui kansa city. discount rate interest rate charg depositori institut borrow district feder reserv banks.
1995-02-01,feder reserv board today approv increas discount rate percent percent effect immediately. relat move feder open market committe agre increas reflect fulli interest rate reserv markets. despit tent sign moder growth econom activ continu advanc substanti pace resourc util risen further. circumst feder reserv view action necessari keep inflat contain therebi foster sustain econom growth. take discount action board approv request submit board director feder reserv bank boston york richmond chicago loui kansa citi francisco. discount rate interest rate charg depositori institut borrow district feder reserv banks.
1995-07-06,chairman alan greenspan announc today feder open market committe decid decreas slightli degre pressur bank reserv positions. result monetari tighten initi earli inflationari pressur reced enough accommod modest adjust monetari conditions. today action reflect basi point declin feder fund rate percent percent.
1995-12-19,chairman alan greenspan announc today feder open market committe decid decreas slightli degre pressur reserv positions. sinc last eas monetari polici juli inflat somewhat favor anticip result along associ moder inflat expect warrant modest eas monetari conditions. thi action expect reflect declin feder fund rate basi point percent percent.
1996-01-31,feder reserv today announc follow polici action board governor approv reduct discount rate percent percent effect immediately. relat move feder open market committe agre reduct would reflect fulli interest rate reserv markets. thi expect result reduct feder fund rate basi point percent percent. moder econom expans recent month reduc potenti inflationari pressur go forward. with price cost trend alreadi subdu slight eas monetari polici consist contain inflat sustain growth. take discount action board approv request submit board director feder reserv bank york philadelphia cleveland atlanta minneapoli dallas. monetari polici last updat march feder reserv today announc follow polici action board governor approv reduct discount rate percent percent effect immediately. relat move feder open market committe agre reduct would reflect fulli interest rate reserv markets. thi expect result reduct feder fund rate basi point percent percent. moder econom expans recent month reduc potenti inflationari pressur go forward. with price cost trend alreadi subdu slight eas monetari polici consist contain inflat sustain growth. take discount action board approv request submit board director feder reserv bank york philadelphia cleveland atlanta minneapoli dallas. monetari polici last updat march feder reserv today announc follow polici action board governor approv reduct discount rate percent percent effect immediately. relat move feder open market committe agre reduct would reflect fulli interest rate reserv markets. thi expect result reduct feder fund rate basi point percent percent. moder econom expans recent month reduc potenti inflationari pressur go forward. with price cost trend alreadi subdu slight eas monetari polici consist contain inflat sustain growth. take discount action board approv request submit board director feder reserv bank york philadelphia cleveland atlanta minneapoli dallas. monetari polici last updat march take discount action board approv request submit board director feder reserv bank york philadelphia cleveland atlanta minneapoli dallas. monetari polici last updat march
1997-03-25,feder open market committe decid today tighten money market condit slightli expect feder fund rate rise percentag point around percent. thi action taken light persist strength demand progress increas risk inflationari imbal develop economi would eventu undermin long expansion. circumst slight firm monetari condit view prudent step afford greater assur prolong current econom expans sustain exist inflat environ rest year next. experi last sever year reinforc convict inflat essenti realiz economi fullest growth potential. chang made feder reserv discount rate remain percent. monetari polici march feder open market committe decid today tighten money market condit slightli expect feder fund rate rise percentag point around percent. thi action taken light persist strength demand progress increas risk inflationari imbal develop economi would eventu undermin long expansion. circumst slight firm monetari condit view prudent step afford greater assur prolong current econom expans sustain exist inflat environ rest year next. experi last sever year reinforc convict inflat essenti realiz economi fullest growth potential. chang made feder reserv discount rate remain percent. monetari polici march feder open market committe decid today tighten money market condit slightli expect feder fund rate rise percentag point around percent. thi action taken light persist strength demand progress increas risk inflationari imbal develop economi would eventu undermin long expansion. circumst slight firm monetari condit view prudent step afford greater assur prolong current econom expans sustain exist inflat environ rest year next. experi last sever year reinforc convict inflat essenti realiz economi fullest growth potential. chang made feder reserv discount rate remain percent. monetari polici march thi action taken light persist strength demand progress increas risk inflationari imbal develop economi would eventu undermin long expansion. circumst slight firm monetari condit view prudent step afford greater assur prolong current econom expans sustain exist inflat environ rest year next. experi last sever year reinforc convict inflat essenti realiz economi fullest growth potential. chang made feder reserv discount rate remain percent. circumst slight firm monetari condit view prudent step afford greater assur prolong current econom expans sustain exist inflat environ rest year next. experi last sever year reinforc convict inflat essenti realiz economi fullest growth potential. chang made feder reserv discount rate remain percent. chang made feder reserv discount rate remain percent. monetari polici march
1998-09-29,feder open market committe decid today eas stanc monetari polici slightli expect feder fund rate declin percentag point around percent. action taken cushion effect prospect econom growth unit state increas weak foreign economi less accommod financi condit domestically. recent chang global economi adjust u.s. financi market mean slightli lower feder fund rate consist keep inflat sustain econom growth go forward. discount rate remain unchang percent. monetari polici septemb feder open market committe decid today eas stanc monetari polici slightli expect feder fund rate declin percentag point around percent. action taken cushion effect prospect econom growth unit state increas weak foreign economi less accommod financi condit domestically. recent chang global economi adjust u.s. financi market mean slightli lower feder fund rate consist keep inflat sustain econom growth go forward. discount rate remain unchang percent. monetari polici septemb feder open market committe decid today eas stanc monetari polici slightli expect feder fund rate declin percentag point around percent. action taken cushion effect prospect econom growth unit state increas weak foreign economi less accommod financi condit domestically. recent chang global economi adjust u.s. financi market mean slightli lower feder fund rate consist keep inflat sustain econom growth go forward. discount rate remain unchang percent. monetari polici septemb action taken cushion effect prospect econom growth unit state increas weak foreign economi less accommod financi condit domestically. recent chang global economi adjust u.s. financi market mean slightli lower feder fund rate consist keep inflat sustain econom growth go forward. discount rate remain unchang percent. discount rate remain unchang percent. monetari polici septemb
1998-10-15,feder reserv today announc follow polici action board governor approv reduct discount rate basi point percent percent. feder fund rate expect fall basi point around percent around percent. grow caution lender unsettl condit financi market gener like restrain aggreg demand future. against backdrop eas stanc monetari polici judg warrant sustain econom growth context contain inflation. take discount rate action board approv request submit board director feder reserv bank york philadelphia atlanta chicago loui minneapoli kansa citi francisco. discount rate interest rate charg depositori institut borrow district feder reserv banks. monetari polici octob feder reserv today announc follow polici action board governor approv reduct discount rate basi point percent percent. feder fund rate expect fall basi point around percent around percent. grow caution lender unsettl condit financi market gener like restrain aggreg demand future. against backdrop eas stanc monetari polici judg warrant sustain econom growth context contain inflation. take discount rate action board approv request submit board director feder reserv bank york philadelphia atlanta chicago loui minneapoli kansa citi francisco. discount rate interest rate charg depositori institut borrow district feder reserv banks. monetari polici octob feder reserv today announc follow polici action board governor approv reduct discount rate basi point percent percent. feder fund rate expect fall basi point around percent around percent. grow caution lender unsettl condit financi market gener like restrain aggreg demand future. against backdrop eas stanc monetari polici judg warrant sustain econom growth context contain inflation. take discount rate action board approv request submit board director feder reserv bank york philadelphia atlanta chicago loui minneapoli kansa citi francisco. discount rate interest rate charg depositori institut borrow district feder reserv banks. monetari polici octob feder fund rate expect fall basi point around percent around percent. grow caution lender unsettl condit financi market gener like restrain aggreg demand future. against backdrop eas stanc monetari polici judg warrant sustain econom growth context contain inflation. take discount rate action board approv request submit board director feder reserv bank york philadelphia atlanta chicago loui minneapoli kansa citi francisco. discount rate interest rate charg depositori institut borrow district feder reserv banks. take discount rate action board approv request submit board director feder reserv bank york philadelphia atlanta chicago loui minneapoli kansa citi francisco. discount rate interest rate charg depositori institut borrow district feder reserv banks. monetari polici octob
1998-11-17,feder reserv today announc follow polici action board governor approv reduct discount rate basi point percent percent. feder fund rate expect fall basi point around percent around percent. although condit financi market settl materi sinc octob unusu strain remain. with basi point declin feder fund rate sinc septemb financi condit reason expect consist foster sustain econom expans keep inflationari pressur subdued. take discount rate action board approv request submit board director feder reserv bank york philadelphia dallas. discount rate interest rate charg depositori institut borrow district feder reserv banks. monetari polici novemb feder reserv today announc follow polici action board governor approv reduct discount rate basi point percent percent. feder fund rate expect fall basi point around percent around percent. although condit financi market settl materi sinc octob unusu strain remain. with basi point declin feder fund rate sinc septemb financi condit reason expect consist foster sustain econom expans keep inflationari pressur subdued. take discount rate action board approv request submit board director feder reserv bank york philadelphia dallas. discount rate interest rate charg depositori institut borrow district feder reserv banks. monetari polici novemb feder reserv today announc follow polici action board governor approv reduct discount rate basi point percent percent. feder fund rate expect fall basi point around percent around percent. although condit financi market settl materi sinc octob unusu strain remain. with basi point declin feder fund rate sinc septemb financi condit reason expect consist foster sustain econom expans keep inflationari pressur subdued. take discount rate action board approv request submit board director feder reserv bank york philadelphia dallas. discount rate interest rate charg depositori institut borrow district feder reserv banks. monetari polici novemb although condit financi market settl materi sinc octob unusu strain remain. with basi point declin feder fund rate sinc septemb financi condit reason expect consist foster sustain econom expans keep inflationari pressur subdued. take discount rate action board approv request submit board director feder reserv bank york philadelphia dallas. discount rate interest rate charg depositori institut borrow district feder reserv banks. take discount rate action board approv request submit board director feder reserv bank york philadelphia dallas. discount rate interest rate charg depositori institut borrow district feder reserv banks. monetari polici novemb
1999-05-18,feder reserv releas follow statement today feder open market committe meet while fomc take action today alter stanc monetari polici committe concern potenti buildup inflationari imbal could undermin favor perform economi therefor adopt direct tilt toward possibl firm stanc monetari policy. trend increas cost core price gener remain quit subdued. domest financi market recov foreign econom prospect improv sinc eas monetari polici last fall. against background alreadi tight domest labor market ongo strength demand excess product gain committe recogn need alert develop come month might indic financi condit longer consist contain inflation. monetari polici feder reserv releas follow statement today feder open market committe meet while fomc take action today alter stanc monetari polici committe concern potenti buildup inflationari imbal could undermin favor perform economi therefor adopt direct tilt toward possibl firm stanc monetari policy. trend increas cost core price gener remain quit subdued. domest financi market recov foreign econom prospect improv sinc eas monetari polici last fall. against background alreadi tight domest labor market ongo strength demand excess product gain committe recogn need alert develop come month might indic financi condit longer consist contain inflation. monetari polici feder reserv releas follow statement today feder open market committe meet while fomc take action today alter stanc monetari polici committe concern potenti buildup inflationari imbal could undermin favor perform economi therefor adopt direct tilt toward possibl firm stanc monetari policy. trend increas cost core price gener remain quit subdued. domest financi market recov foreign econom prospect improv sinc eas monetari polici last fall. against background alreadi tight domest labor market ongo strength demand excess product gain committe recogn need alert develop come month might indic financi condit longer consist contain inflation. monetari polici while fomc take action today alter stanc monetari polici committe concern potenti buildup inflationari imbal could undermin favor perform economi therefor adopt direct tilt toward possibl firm stanc monetari policy. trend increas cost core price gener remain quit subdued. domest financi market recov foreign econom prospect improv sinc eas monetari polici last fall. against background alreadi tight domest labor market ongo strength demand excess product gain committe recogn need alert develop come month might indic financi condit longer consist contain inflation. monetari polici
1999-06-30,feder open market committe today vote rais target feder fund rate basi point percent. last fall committe reduc interest rate counter signific seiz financi market unit states. sinc much financi strain eas foreign economi firm econom activ unit state move forward brisk pace. accordingli full degre adjust judg longer necessary. labor market continu tighten recent quarter strengthen product growth contain inflationari pressures. owe uncertain resolut balanc conflict forc economi go forward fomc chosen adopt direct includ predilect near term polici action. committe nonetheless recogn current dynam environ must especi alert emerg potenti emerg inflationari forc could undermin econom growth. monetari polici june feder open market committe today vote rais target feder fund rate basi point percent. last fall committe reduc interest rate counter signific seiz financi market unit states. sinc much financi strain eas foreign economi firm econom activ unit state move forward brisk pace. accordingli full degre adjust judg longer necessary. labor market continu tighten recent quarter strengthen product growth contain inflationari pressures. owe uncertain resolut balanc conflict forc economi go forward fomc chosen adopt direct includ predilect near term polici action. committe nonetheless recogn current dynam environ must especi alert emerg potenti emerg inflationari forc could undermin econom growth. monetari polici june feder open market committe today vote rais target feder fund rate basi point percent. last fall committe reduc interest rate counter signific seiz financi market unit states. sinc much financi strain eas foreign economi firm econom activ unit state move forward brisk pace. accordingli full degre adjust judg longer necessary. labor market continu tighten recent quarter strengthen product growth contain inflationari pressures. owe uncertain resolut balanc conflict forc economi go forward fomc chosen adopt direct includ predilect near term polici action. committe nonetheless recogn current dynam environ must especi alert emerg potenti emerg inflationari forc could undermin econom growth. monetari polici june labor market continu tighten recent quarter strengthen product growth contain inflationari pressures. owe uncertain resolut balanc conflict forc economi go forward fomc chosen adopt direct includ predilect near term polici action. committe nonetheless recogn current dynam environ must especi alert emerg potenti emerg inflationari forc could undermin econom growth. owe uncertain resolut balanc conflict forc economi go forward fomc chosen adopt direct includ predilect near term polici action. committe nonetheless recogn current dynam environ must especi alert emerg potenti emerg inflationari forc could undermin econom growth. monetari polici june
