Date,rate_hike
03/22/2023,0.0025
02/01/2023,0.0025
12/14/2022,0.005
11/02/2022,0.0075
09/21/2022,0.0075
07/27/2022,0.0075
06/15/2022,0.0075
05/04/2022,0.005
03/16/2022,0.0025
01/26/2022,0
12/15/2021,0
11/03/2021,0
09/22/2021,0
07/28/2021,0
06/16/2021,0
04/28/2021,0
03/17/2021,0
01/27/2021,0
12/16/2020,0
11/05/2020,0
09/16/2020,0
07/29/2020,0
06/10/2020,0
04/29/2020,0
03/15/2020,-0.01
03/03/2020,-0.005
01/29/2020,0
12/11/2019,0
10/30/2019,-0.0025
09/18/2019,-0.0025
07/31/2019,-0.0025
06/19/2019,0
05/01/2019,0
03/20/2019,0
01/30/2019,0
12/19/2018,0.0025
11/08/2018,0
09/26/2018,0.0025
08/01/2018,0
06/13/2018,0.0025
05/02/2018,0
03/21/2018,0.0025
01/31/2018,0
12/13/2017,0.0025
11/01/2017,0
09/20/2017,0
07/26/2017,0
06/14/2017,0.0025
05/03/2017,0
03/15/2017,0.0025
02/01/2017,0
12/14/2016,0.0025
11/02/2016,0
09/21/2016,0
07/27/2016,0
06/15/2016,0
04/27/2016,0
03/16/2016,0
01/27/2016,0
12/16/2015,0.0025
10/28/2015,0
09/17/2015,0
07/29/2015,0
06/17/2015,0
04/29/2015,0
03/18/2015,0
01/28/2015,0
12/17/2014,0
10/29/2014,0
09/17/2014,0
07/30/2014,0
06/18/2014,0
04/30/2014,0
03/19/2014,0
01/29/2014,0
12/18/2013,0
10/30/2013,0
09/18/2013,0
07/31/2013,0
06/19/2013,0
05/01/2013,0
03/20/2013,0
01/30/2013,0
12/12/2012,0
10/24/2012,0
09/13/2012,0
08/01/2012,0
06/20/2012,0
04/25/2012,0
03/13/2012,0
01/25/2012,0
12/13/2011,0
11/02/2011,0
09/21/2011,0
08/09/2011,0
06/22/2011,0
04/27/2011,0
03/15/2011,0
01/26/2011,0
12/14/2010,0
11/03/2010,0
09/21/2010,0
08/10/2010,0
06/23/2010,0
04/28/2010,0
03/16/2010,0
02/18/2010,0
01/27/2010,0
12/16/2009,0
11/04/2009,0
09/23/2009,0
08/12/2009,0
06/24/2009,0
04/29/2009,0
03/18/2009,0
01/28/2009,0
12/16/2008,-0.0075
10/29/2008,-0.005
10/08/2008,-0.005
09/16/2008,0
08/05/2008,0
06/25/2008,0
04/30/2008,-0.0025
03/18/2008,-0.0075
01/30/2008,-0.005
01/22/2008,-0.0075
12/11/2007,-0.0025
10/31/2007,-0.0025
09/18/2007,-0.005
08/17/2007,0
08/07/2007,0
06/28/2007,0
05/09/2007,0
03/21/2007,0
01/31/2007,0
12/12/2006,0
10/25/2006,0
09/20/2006,0
08/08/2006,0
06/29/2006,0.0025
05/10/2006,0.0025
03/28/2006,0.0025
01/31/2006,0.0025
12/13/2005,0.0025
11/01/2005,0.0025
09/20/2005,0.0025
08/09/2005,0.0025
06/30/2005,0.0025
05/03/2005,0.0025
03/22/2005,0.0025
02/02/2005,0.0025
12/14/2004,0.0025
11/10/2004,0.0025
09/21/2004,0.0025
08/10/2004,0.0025
06/30/2004,0.0025
05/04/2004,0
03/16/2004,0
01/28/2004,0
12/09/2003,0
10/28/2003,0
09/16/2003,0
08/12/2003,0
06/25/2003,-0.0025
05/06/2003,0
03/18/2003,0
01/29/2003,0
12/10/2002,0
11/06/2002,-0.005
09/24/2002,0
08/13/2002,0
06/26/2002,0
05/07/2002,0
03/19/2002,0
01/30/2002,0
12/11/2001,-0.0025
11/06/2001,-0.005
10/02/2001,-0.005
09/17/2001,-0.005
08/21/2001,-0.0025
06/27/2001,-0.0025
05/15/2001,-0.005
04/18/2001,-0.005
03/20/2001,-0.005
01/31/2001,-0.005
01/03/2001,0
12/19/2000,0
11/15/2000,0
10/03/2000,0
08/22/2000,0
06/28/2000,0
05/16/2000,0.005
03/21/2000,0.0025
02/02/2000,0.0025
12/21/1999,0
11/16/1999,0.0025
10/05/1999,0
08/24/1999,0.0025
06/30/1999,0.0025
05/18/1999,0
03/30/1999,0
02/03/1999,0
12/22/1998,0
11/17/1998,-0.0025
10/15/1998,-0.0025
09/29/1998,-0.0025
08/18/1998,0
07/01/1998,0
05/19/1998,0
03/31/1998,0
02/04/1998,0
12/16/1997,0
11/12/1997,0
09/30/1997,0
08/19/1997,0
07/02/1997,0
05/20/1997,0
03/25/1997,0.0025
02/05/1997,0
12/17/1996,0
11/13/1996,0
09/24/1996,0
08/20/1996,0
07/03/1996,0
05/21/1996,0
03/26/1996,0
01/31/1996,-0.0025
12/19/1995,-0.0025
11/15/1995,0
09/26/1995,0
08/22/1995,0
